,Unnamed: 0,Unnamed: 0.1,Name,Artist,Song ID,Danceability,Energy,Tempo,Valence,Time,sentiment_score,sentiment_mag
0,0,0,Paris in the Rain,Lauv,41CgzGD7xlgnJe14R4cqkL,0.426,0.408,76.309,0.528,2019-10-20 07:27:22.343828,0.1,19.9
1,1,1,drunk,keshi,6D6HVKe7Qu3imn4zzJD0W9,0.691,0.389,104.952,0.306,2019-10-21 07:27:22.343828,0.0,14.0
2,2,2,Malibu Nights,LANY,0Eqg0CQ7bK3RQIMPw1A7pl,0.5589999999999999,0.422,74.002,0.191,2019-10-22 07:27:22.343828,-0.2,28.1
3,3,3,2 soon,keshi,5SlU0Yhi51jobhEiGE4xDv,0.517,0.6629999999999999,174.032,0.146,2019-10-23 07:27:22.343828,-0.1,23.6
4,4,4,summer,keshi,0LqCvXVNvcnkq78sCQsoO0,0.7170000000000001,0.453,85.005,0.483,2019-10-24 07:27:22.343828,0.1,17.6
5,5,5,Blue & Grey,BTS,0n2moJpAEWHwaPYYjkzMDl,0.547,0.605,121.953,0.364,2019-10-25 07:27:22.343828,0.1,15.1
6,6,6,Turn Back Time,Daniel Schulz,4KnnWpUyPfQD6X5SQSTlH3,0.68,0.34600000000000003,95.952,0.224,2019-10-26 07:27:22.343828,-0.1,18.8
7,7,7,What If I Told You That I Love You,Ali Gatie,74D7JUfU6HYeMx4bZhsHnG,0.605,0.365,84.62799999999999,0.224,2019-10-27 07:27:22.343828,0.0,19.6
8,8,8,talk is overrated,Jeremy Zucker,7cflqPPi3zWfLFRRBTWeh6,0.7759999999999999,0.353,138.035,0.6579999999999999,2019-10-28 07:27:22.343828,-0.3,20.6
9,9,9,like i need u,keshi,7ivYWXqrPLs66YwakDuSim,0.748,0.465,119.872,0.412,2019-10-29 07:27:22.343828,-0.3,21.6
10,10,10,My Man,Jony J,2wGR3wl2eSWtTggYuKNrMQ,0.852,0.5760000000000001,113.965,0.265,2019-10-30 07:27:22.343828,-0.2,18.8
11,11,11,阿司匹林,王以太,0pQVtvG3YTqZ1cAvCtvIW4,0.802,0.6890000000000001,135.971,0.302,2019-10-31 07:27:22.343828,-0.2,14.1
12,12,12,i'm so tired...,Lauv,4vjpLMyL3ZO6aphdYr8XYw,0.599,0.733,102.211,0.534,2019-11-01 07:27:22.343828,-0.3,30.9
13,13,13,Head In The Clouds,88rising,3kYARoLSAvt86VFZ55BQcq,0.516,0.456,145.843,0.238,2019-11-02 07:27:22.343828,0.1,26.3
14,14,14,Saturday Nights,Khalid,5kfNriitmkNE8mUbZ7gbq8,0.551,0.44,167.923,0.341,2019-11-03 07:27:22.343828,0.1,25.3
15,15,15,Stan,6LACK,1mggAh6xgnKUT6ukw3AU9A,0.333,0.328,92.889,0.152,2019-11-04 07:27:22.343828,0.0,6.0
16,16,16,50 Feet,SoMo,6YI65Sb4nKEgu9pVl5GWjm,0.515,0.458,92.988,0.117,2019-11-05 07:27:22.343828,0.2,16.8
17,17,17,3:00 AM,Finding Hope,5HsSsEeP3hU9QSfHZrzbtA,0.55,0.147,81.991,0.0346,2019-11-06 07:27:22.343828,0.0,14.2
